file_path,class_name,label
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_14.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_47.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_15.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_8.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_43.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_3.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_33.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_15.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_19.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_4.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_31.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_18.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_41.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_3.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_41.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_51.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_30.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_50.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_6.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_39.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_37.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_50.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_38.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_45.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_31.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_34.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_9.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\normal_42.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_17.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_37.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_25.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_35.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_5.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_32.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_20.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_7.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_2.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_4.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_12.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_7.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_29.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_30.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_35.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_45.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_13.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_22.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_23.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_27.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_36.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_49.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_10.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_11.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_43.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_21.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_20.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_36.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\normal_26.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_1.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_12.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_42.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_21.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_38.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_23.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_14.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Baby_Cry\Baby_Cry_5.wav,Baby_Cry,0
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Normal\Normal_48.wav,Normal,2
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_17.wav,Noise,1
C:\Users\Admin\Desktop\AST_Audio_Project\audio_dataset\Noise\Noise_48.wav,Noise,1
